node | value from strict function | value from loose function | value from the additive function
1 | 39 | 341 | 68
2 | 37 | 367 | 75
3 | 22 | 363 | 65
4 | 21 | 374 | 59
5 | 40 | 348 | 71
6 | 15 | 367 | 70
7 | 11 | 372 | 65
8 | 38 | 329 | 71
9 | 39 | 357 | 71
10 | 11 | 366 | 64
11 | 30 | 366 | 72
12 | 39 | 341 | 76
13 | 36 | 267 | 74
14 | 31 | 370 | 65
15 | 39 | 334 | 86
16 | 36 | 295 | 71
17 | 11 | 371 | 53
18 | 40 | 363 | 62
19 | 40 | 332 | 74
20 | 19 | 363 | 84
21 | 33 | 359 | 69
22 | 40 | 359 | 73
23 | 11 | 372 | 86
24 | 21 | 362 | 67
25 | 25 | 367 | 65
26 | 3 | 48 | 41
27 | 19 | 369 | 113
28 | 35 | 335 | 69
29 | 37 | 359 | 86
30 | 39 | 318 | 64
31 | 39 | 360 | 76
32 | 21 | 361 | 66
33 | 40 | 305 | 79
34 | 39 | 365 | 58
35 | 11 | 371 | 63
36 | 40 | 354 | 66
37 | 34 | 361 | 75
38 | 39 | 354 | 71
39 | 34 | 359 | 83
40 | 20 | 364 | 73
41 | 40 | 356 | 67
42 | 20 | 364 | 70
43 | 38 | 325 | 82
44 | 9 | 374 | 103
45 | 37 | 343 | 98
46 | 11 | 195 | 29
47 | 10 | 195 | 32
48 | 11 | 370 | 78
49 | 11 | 195 | 28
50 | 19 | 372 | 70
51 | 39 | 351 | 67
52 | 39 | 353 | 61
53 | 37 | 275 | 70
54 | 4 | 171 | 68
55 | 39 | 366 | 72
56 | 37 | 335 | 68
57 | 16 | 372 | 64
58 | 39 | 356 | 75
59 | 39 | 355 | 66
60 | 11 | 373 | 56
61 | 11 | 373 | 59
62 | 22 | 371 | 64
63 | 22 | 370 | 64
64 | 22 | 372 | 63
65 | 22 | 371 | 64
66 | 4 | 171 | 67
67 | 11 | 374 | 74
68 | 38 | 370 | 60
69 | 11 | 374 | 73
70 | 40 | 363 | 64
71 | 35 | 347 | 78
72 | 11 | 374 | 56
73 | 11 | 374 | 70
74 | 11 | 374 | 67
75 | 41 | 359 | 63
76 | 21 | 374 | 65
77 | 39 | 294 | 72
78 | 10 | 196 | 25
79 | 39 | 369 | 71
80 | 11 | 374 | 56
81 | 30 | 366 | 64
82 | 8 | 63 | 21
83 | 21 | 364 | 73
84 | 11 | 370 | 62
85 | 1 | 196 | 98
86 | 33 | 365 | 57
87 | 40 | 357 | 67
88 | 11 | 191 | 41
89 | 19 | 372 | 62
90 | 33 | 360 | 79
91 | 7 | 188 | 80
92 | 32 | 357 | 71
93 | 3 | 187 | 99
94 | 11 | 368 | 83
95 | 20 | 371 | 68
96 | 37 | 322 | 78
97 | 11 | 369 | 80
98 | 31 | 356 | 76
99 | 11 | 368 | 60
100 | 12 | 200 | 75
101 | 17 | 366 | 90
102 | 33 | 135 | 63
103 | 22 | 363 | 70
104 | 11 | 364 | 111
105 | 29 | 362 | 64
106 | 11 | 364 | 73
107 | 11 | 366 | 72
108 | 22 | 368 | 72
109 | 9 | 374 | 66
110 | 13 | 372 | 49
111 | 10 | 372 | 49
112 | 10 | 372 | 49
113 | 10 | 369 | 73
114 | 10 | 370 | 82
115 | 20 | 369 | 61
116 | 20 | 369 | 59
117 | 19 | 369 | 61
118 | 10 | 367 | 74
119 | 10 | 370 | 61
120 | 40 | 355 | 72
121 | 10 | 367 | 77
122 | 37 | 304 | 68
123 | 11 | 367 | 60
124 | 20 | 365 | 67
125 | 18 | 358 | 79
126 | 40 | 344 | 79
127 | 32 | 357 | 65
128 | 12 | 371 | 98
129 | 3 | 68 | 45
130 | 5 | 66 | 43
131 | 38 | 322 | 85
132 | 10 | 366 | 69
133 | 10 | 365 | 85
134 | 26 | 362 | 97
135 | 39 | 345 | 66
136 | 21 | 356 | 75
137 | 40 | 332 | 62
138 | 38 | 352 | 70
139 | 10 | 365 | 150
140 | 10 | 366 | 70
141 | 10 | 366 | 81
142 | 30 | 364 | 102
143 | 10 | 366 | 64
144 | 10 | 367 | 78
145 | 3 | 189 | 81
146 | 10 | 368 | 67
